display_name,tagged_assets,description,relations,synonyms,data_stewards
Fixed Partial Churn,FMC (Common) Party,"Type of party base movement, where a Fixed Only Party or a Common Party resigns at least one, but not all fixed line core services in the reporting period. ",FMC (Common) Party,,zsuzsanna.vida@vodafone.com
Homes Passed,Business Term,"Premises, including single and multiple dwelling units, and SOHO units either already connected to our HFC network or that can be connected to the network without materially extending the Distribution plant. ",Fixed Footprint,HP,zsuzsanna.vida@vodafone.com
Mobile Partial Churn,Business Term,"Type of party base movement, where a Mobile Only Party or a Common Party resigns at least one, but not all mobile line core services in the reporting period. ",FMC (Common) Party,,zsuzsanna.vida@vodafone.com
FMC categories,Business Term,"Types: 1. No FMC (not in FMC database) 2. FMC only (in FMC database whether or not receives benefit or discount) 3. FMC with gift (in FMC database and receives only gift) 4. FMC with discount (FMC with discount and FMC with gift &amp; discount). FMC database is built up by using ODI logic. It scans and joints the VF and UPC customer base based on identity card number/VAT or company ID, name of customer, date and place of birth. ",FMC (Common) Party,,zsuzsanna.vida@vodafone.com
FMC (Common) Party,Business Term,"Type of Party, a Common (FMC) Party is a party with any combination of services that at least includes one mobile and one fixed line core service. ",,,zsuzsanna.vida@vodafone.com
Party (Group ID),Business Term,"Prerequisite: Party is a new level in VFHU customer hierarchy. It was introduced to have a clear view on the number of customers after the UPC merger. On party level it's possible to connect LG fixed customer accounts to VF customer accounts and also some of the legacy billing systems specific issues can be handled (within VF postpaid and pre-paid accounts, and within UPC accounts on different locations owned by the same customer (p.e.holiday homes) can be linked together. Later NetCracker (and in this way Nucleus) will use similar methodology . Party has customer characteristics.
Party is an individual or an organization that has entered into one or more contracts with Vodafone for the supply of telecommunication services and that can make decisions on services contracted, be it altering, cancelling or adding new products and services. There must be a monthly fee or a service charge associated with at least one subscription of the account in the reporting month, and the subscription must be included in the registered subscription base at the end of the reporting period. ",FMC (Common) Party,,zsuzsanna.vida@vodafone.com
HP,Acronym,Homes Passed. ,,,zsuzsanna.vida@vodafone.com
Moving Average Price,Business Term,"It refers to the moving average price, MAP of equipments or devices which is the stock value/quantity. ",,,zsuzsanna.vida@vodafone.com
TNPS Repair,Business Term,A type of TNPS (customer experience indicator) which relates to handset repair services at the expense of warranty or claim settlements. ,NPS,,zsuzsanna.vida@vodafone.com
SVOD,Acronym,Subscription Video On Demand. ,,,zsuzsanna.vida@vodafone.com
Service Level Agreed,Business Term,"Expected level of services, a kind of benchmark defined by the organisation related to a service/process. ",,SLA,zsuzsanna.vida@vodafone.com
Offer base Voice Allowance (min),Business Term,The maximum number of Voice Allowance units allowed for the Offering in min. ,,,zsuzsanna.vida@vodafone.com
TNPS Care,Business Term,"A type of TNPS (customer experience indicator) which relates to invoice payment, tariff change or service modification events. ",NPS,,zsuzsanna.vida@vodafone.com
Business Product Instances,Business Term,"Unique identifier of a business product. At the Sales Order submission, for each newly added product, based on the Order Item, the system creates a Business Product Instance. ",,,zsuzsanna.vida@vodafone.com
